Player,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
e92cd3f7,17.69,21.54,82.1,292.31,36.92,8.46,9.23,91.7,7.69,9.23,83.3,1.54,1.54,76.92,0.0,0.0,0.0,0.77,0.0,0.0,0.0,1.54
2475dcc6,30.67,42.67,71.9,507.33,163.67,17.5,20.33,86.1,8.83,12.17,72.6,4.0,7.83,8.52,0.5,0.27,0.23,2.5,1.83,1.33,0.5,3.83
f0661424,39.65,53.68,73.9,711.75,330.0,17.72,21.23,83.5,17.54,22.98,76.3,3.86,8.07,8.39,0.0,0.02,-0.02,0.18,2.63,0.53,0.18,4.91
7272a72a,35.16,39.68,88.6,631.94,124.19,17.74,19.03,93.2,11.94,13.23,90.2,4.19,5.16,26.23,0.0,0.03,-0.03,0.32,1.94,1.94,0.0,3.23
a0f9b535,58.0,72.0,80.6,1206.0,296.0,14.0,18.0,77.8,36.0,36.0,100.0,8.0,14.0,114.2,0.0,0.0,0.0,0.0,6.0,2.0,0.0,10.0
4c2a5d34,10.45,16.36,63.9,169.55,36.82,4.55,7.27,62.5,5.0,5.45,91.7,0.45,1.36,15.14,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.91
bfe272bd,51.5,60.5,85.1,964.5,223.0,22.5,24.0,93.8,22.5,23.5,95.7,6.5,12.0,27.1,0.0,0.05,-0.05,1.5,3.0,1.0,0.0,3.5
e73c9bb2,35.62,52.5,67.9,705.31,320.0,15.0,18.12,82.8,15.31,19.69,77.8,5.0,11.88,13.16,0.0,0.19,-0.19,3.12,2.19,0.94,0.94,1.88
6f51e382,24.2,26.8,90.3,592.0,394.6,6.6,6.8,97.1,10.2,10.4,98.1,7.4,9.6,15.42,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
5148dcc5,17.41,22.22,78.3,295.19,82.96,6.3,6.67,94.4,7.78,9.26,84.0,1.48,3.33,16.44,0.0,0.33,-0.33,2.59,0.74,1.11,0.37,1.48
7120a04d,20.0,25.09,79.7,358.6,73.51,9.3,10.53,88.3,7.72,9.3,83.0,2.46,3.33,12.93,0.18,0.11,0.07,1.05,1.23,0.7,0.18,1.58
2b9fdeea,26.04,36.79,70.8,383.58,125.47,16.04,19.43,82.5,6.42,9.25,69.4,2.26,6.42,6.66,0.0,0.15,-0.15,1.32,1.7,1.13,0.0,3.58
6f8cd6d0,21.21,26.52,80.0,311.67,87.42,12.88,14.55,88.5,6.52,8.48,76.8,1.21,1.97,9.32,0.3,0.17,0.14,0.61,1.36,0.3,0.0,2.42
6b8887c2,10.0,10.0,100.0,100.0,10.0,10.0,10.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
41034650,inf,inf,50.0,inf,inf,inf,inf,50.0,,,,,,,,,,,,,,
652d4c37,53.93,61.43,87.8,1014.64,257.14,26.07,29.64,88.0,17.5,17.86,98.0,8.21,9.64,30.43,0.0,0.07,-0.07,1.07,7.86,2.14,0.36,7.86
c56dc39e,36.23,45.65,79.4,720.72,259.28,12.9,15.51,83.2,18.55,20.58,90.1,4.64,8.55,7.86,0.0,0.0,0.0,0.14,3.91,0.14,0.14,3.62
f93c876b,30.8,36.0,85.6,573.6,114.0,9.2,9.6,95.8,18.8,20.0,94.0,1.6,4.0,16.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.8
52611641,82.0,92.0,89.1,1550.0,374.0,28.0,30.0,93.3,40.0,46.0,87.0,14.0,16.0,175.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0
9e1035f8,14.0,16.75,83.6,215.0,42.75,8.75,9.5,92.1,3.0,4.0,75.0,1.5,2.0,18.75,0.0,0.2,-0.2,2.0,0.75,1.25,0.0,2.25
58a9a4d9,59.03,69.68,84.7,1223.55,356.77,27.74,30.32,91.5,16.45,20.0,82.3,13.23,16.77,25.42,0.32,0.19,0.13,2.58,7.74,1.94,0.65,6.13
a4b1028a,49.67,66.0,75.3,958.67,338.0,18.5,21.5,86.0,23.67,30.5,77.6,6.67,11.33,9.8,0.0,0.0,0.0,0.17,4.17,0.83,0.33,4.83
096a77c4,23.33,33.33,70.0,320.0,0.0,13.33,16.67,80.0,10.0,13.33,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77e39b04,44.86,55.14,81.4,606.22,128.92,30.0,33.78,88.8,11.62,15.41,75.4,1.35,1.89,19.3,0.0,0.05,-0.05,0.54,2.43,0.54,0.0,3.24
21512407,54.26,69.85,77.7,995.59,468.24,23.09,25.74,89.7,23.53,29.26,80.4,6.76,12.21,8.15,0.0,0.12,-0.12,1.32,3.24,3.68,1.03,9.41
41f0b196,26.0,42.8,60.7,812.0,462.8,3.6,3.6,100.0,10.8,11.2,96.4,11.6,28.0,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5d0e0a1f,55.56,70.37,78.9,964.44,288.52,24.44,27.04,90.4,26.67,32.59,81.8,3.33,6.67,18.52,0.0,0.04,-0.04,0.74,2.96,1.48,0.74,2.96
f315ca93,49.29,67.86,72.6,904.29,347.86,20.0,23.57,84.8,21.43,27.14,78.9,5.71,15.0,27.21,0.0,0.0,0.0,0.0,6.43,0.0,0.0,7.86
f7e87032,23.4,31.49,74.3,357.87,88.94,13.19,14.89,88.6,7.02,11.06,63.5,2.13,3.62,12.51,0.0,0.02,-0.02,0.43,1.06,1.7,0.64,2.13
2baec6ce,30.43,33.48,90.9,645.22,203.48,10.87,12.61,86.2,14.78,15.22,97.1,4.78,5.22,39.87,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.43
ed140063,33.62,45.17,74.4,631.9,205.17,15.0,17.93,83.7,13.28,15.17,87.5,4.83,9.48,8.78,0.17,0.12,0.05,1.72,2.59,1.55,0.69,3.79
1a799243,33.17,46.17,71.8,569.0,259.83,16.0,18.83,85.0,13.5,18.17,74.3,3.0,7.83,6.38,0.0,0.22,-0.22,1.33,2.17,1.33,0.33,5.5
