Player,fbref id,transm id,mv
Renato Sanches,032f894e,258027,16000000
Alexis Sanchez,2c0f8e9e,40433,16000000
Davinson Sanchez,da7b447d,341429,48000000
Jadon Sancho,dbf053da,401173,117000000
Alex Sandro,0d82903c,79960,40000000
Douglas Santos,c50e5bba,220793,11000000
Pablo Sarabia,9744ff80,74230,28000000
Marcelo Saracchi,1c96ad85,373916,9000000
Stefan Savic,f6ac68c1,107010,25500000
Patrik Schick,5d4f7d61,242086,20000000
Marcel Schmelzer,89565ac5,35208,1400000
Siebe Schrijvers,746fec7d,208552,4000000
Nico Schulz,fa274d97,85867,16000000
Perr Schuurs,e613313c,418543,6300000
Haris Seferovic,a45eac1f,109256,12000000
Nelson Semedo,d04b94db,231572,32000000
Ruben Semedo,c904f3d5,197602,4800000
Stefano Sensi,b70bde8f,216179,24000000
Jean Seri,10efd0e1,258004,9500000
Ryan Sessegnon,6aa3e78b,392775,31500000
Petr Sevcik,d4232ba9,147555,1600000
Xherdan Shaqiri,6421ec64,86792,16000000
Oleg Shatov,8ce063f9,59187,4000000
Danylo Sikan,03998238,417228,1800000
Bernardo Silva,3eb22ec9,241641,80000000
David Silva,e2716bd0,35518,12000000
Rafa Silva,70cf63ca,238055,24000000
Thiago Silva,86e7deaf,29241,4800000
Daley Sinkgraven,73000a79,215099,4800000
Moussa Sissoko,2acd49b9,46001,20000000
Mario Situm,0638becf,138741,675000
Oliver Skipp,6250083a,406638,7200000
Milan Skoda,65adf2db,63047,800000
Milan Skriniar,30f5ffa9,204069,48000000
Igor Smolnikov,76d5857d,46635,3200000
Fyodor Smolov,cbbfa2e7,50355,7000000
Eduard Sobol,2ccd89a3,206717,3200000
Carlos Soler,fed17f5a,372246,40000000
Manor Solomon,886f9aac,396638,5800000
Tomas Soucek,6613c819,283628,12000000
Adama Soumaoro,7b075c75,126673,8000000
Boubakary Soumare,ae59b359,344605,24500000
Marco Sportiello,ac4003af,199976,2000000
Nicolae Stanciu,e07c2923,148372,3200000
Cican Stankovic,27d902c8,127679,2800000
Taras Stepanenko,ee3519f5,59970,8000000
Raheem Sterling,b400bde0,134425,128000000
Petar Stojanovic,13b44b02,183841,1200000
John Stones,5eecec3d,186590,36000000
Luis Suarez,a6154613,44352,28000000
Niklas Sule,e33c06cf,166601,48000000
Aleksei Sutormin,bd20f4eb,217033,2400000
Wojciech Szczesny,01b8a2b2,44058,32000000
Dominik Szoboszlai,934e1968,451276,13500000
Adel Taarabt,47dc80f5,45287,4000000
Dusan Tadic,2475dcc6,36139,20000000
Nicolas Tagliafico,f0661424,131225,28000000
Jonathan Tah,bd142efb,196357,29500000
Taison,7272a72a,76028,9500000
Laco Takacs,b698cfc6,303440,650000
Adrien Tameze,8da74c05,157507,4800000
Japhet Tanganga,e9971f2d,346478,7200000
Percy Tau,4d0eb7d2,312239,4000000
David Tavares,70bc68ef,416089,725000
Tomas Tavares,0dce3356,550549,7200000
Stanislav Tecl,e8ed3abc,81390,800000
Marc-Andre ter Stegen,6f51e382,74857,72000000
